application_id,job_title,company_name,location,employment_type,years_experience,remote_flag,skills_match_ratio,application_channel,day_of_week_applied,responded_within_7d
1618,Data Engineer,PinnacleAI,Los Angeles CA,full_time,2,1,0.3127,company_site,6,0
8129,Software Engineer,Luminary AI,Minneapolis MN,full_time,0,0,0.4468,company_site,0,0
2169,Frontend Developer,ZenithSoft,Remote,contract,5,1,0.5944,company_site,2,0
1091,ML Engineer,Polaris Systems,Phoenix AZ,full_time,8,0,0.1038,linkedin,3,0
7755,Software Engineer,CloudNine Systems,Denver CO,c2c,6,0,0.3635,vendor,1,0
8072,Cloud Engineer,Quantum Drift,Portland OR,full_time,1,1,0.1623,linkedin,0,0
7424,Software Engineer,Infinex Analytics,Miami FL,full_time,10,0,0.1056,linkedin,5,0
8985,GenAI Engineer,NovaTech AI,Boston MA,full_time,-1,0,0.2744,referral,6,1
2311,Backend Developer,Stratus AI,Boston MA,contract,3,0,0.4068,linkedin,5,0
7257,MLOps Engineer,Stratus AI,Portland OR,contract,3,0,0.2277,linkedin,6,0
533,AI Product Engineer,Meridian Labs,Nashville TN,internship,2,1,0.4641,LINKEDIN,2,0
766,LLM Engineer,Quantum Drift,Nashville TN,c2c,9,1,0.2043,company_site,0,1
1356,MLOps Engineer,NovaTech AI,Atlanta GA,contract,6,0,-0.1,linkedin,,0
6479,Frontend Developer,ZenithSoft,Chicago IL,full_time,5,1,0.3808,Vendor,0,0
81,GenAI Engineer,Stratus AI,Dallas TX,full_time,99,1,0.4247,linkedin,2,1
6654,ML Engineer,DataBridge Inc,Seattle WA,contract,4,1,0.4401,,3,0
3066,Cloud Engineer,Infinex Analytics,Charlotte NC,internship,4,1,0.4956,vendor ,2,1
6969,Full Stack Engineer,Orion Systems,Los Angeles CA,full_time,8,1,0.2747,vendor,3,0
1248,MLOps Engineer,PinnacleAI,Remote,full_time,1,0,0.6311,company_site ,6,0
6042,Full Stack Engineer,CoreLogic AI,Atlanta GA,full_time,4,0,0.4991,company_site,4,0
7073,Cloud Engineer,CoreLogic AI,Portland OR,internship,5,1,0.3553,other,4,0
4100,Data Scientist,NovaTech AI,Nashville TN,contract,3,0,0.114,linkedin,6,0
1938,AI Research Scientist,Orion Systems,Seattle WA,contract,8,1,0.3944,linkedin,0,0
2699,ML Engineer,Vortex ML,Miami FL,full_time,8,0,0.2553,company_site,4,0
8318,MLOps Engineer,Helios Cloud,Minneapolis MN,c2c,0,0,0.5507,vendor,0,0
501,MLOps Engineer,Luminary AI,Seattle WA,full_time,4,0,,linkedin,2,0
6400,ML Engineer,Cascade Technologies,Charlotte NC,full_time,0,1,0.5456,vendor,3,0
2292,Platform Engineer,Prism Data,Dallas TX,contract,3,1,0.4984,referral,2,0
8285,LLM Engineer,Meridian Labs,Charlotte NC,contract,6,1,0.2843,linkedin,6,0
7908,AI Product Engineer,Quantum Drift,Remote,contract,7,0,0.2217,referral,0,0
3528,Frontend Developer,Vortex ML,Atlanta GA,full_time,4,0,0.2672,linkedin,,0
9414,Data Engineer,TrueLayer AI,Austin TX,internship,0,1,0.1168,company_site,4,0
9045,Senior AI Engineer,Orion Systems,Denver CO,contract,6,0,0.7915,linkedin,4,0
2767,Cloud Engineer,Helios Cloud,Portland OR,contract,-1,1,0.1881,vendor,5,0
9978,Cloud Engineer,Synthetix Labs,Charlotte NC,contract,1,1,0.5177,linkedin,6,0
2772,Data Scientist,Helios Cloud,Denver CO,contract,1,0,0.342,vendor,5,0
451,Frontend Developer,Cascade Technologies,Chicago IL,c2c,2,1,0.3914,vendor,6,0
6796,LLM Engineer,Helios Cloud,Seattle WA,full_time,1,1,0.5346,vendor,3,0
4129,Cloud Engineer,Orion Systems,Remote,full_time,4,0,-0.1,company_site,0,0
1693,Platform Engineer,CoreLogic AI,San Francisco CA,c2c,-1,,0.334,linkedin,2,0
4919,AI Product Engineer,Quantum Drift,Dallas TX,c2c,8,1,0.3182,linkedin,0,1
7882,Software Engineer,Quantum Drift,Remote,full_time,8,1,0.3083,linkedin,4,1
1570,Cloud Engineer,CoreLogic AI,Charlotte NC,full_time,10,0,0.1034,linkedin,-1,1
9064,AI Product Engineer,PinnacleAI,New York NY,contract,5,no,0.1402,referral,3,0
2479,Senior AI Engineer,CloudNine Systems,Phoenix AZ,contract,9,1,0.5895,company_site,1,0
8159,Software Engineer,Luminary AI,New York NY,internship,6,1,0.491,linkedin,0,1
6323,Software Engineer,NovaTech AI,Remote,c2c,9,1,0.2652,company_site,1,0
9191,AI Product Engineer,BlueSky Tech,Charlotte NC,contract,12,0,0.2089,linkedin,5,0
9366,Platform Engineer,DataBridge Inc,Portland OR,c2c,5,0,0.423,referral,5,0
3774,AI Research Scientist,Prism Data,Atlanta GA,contract,3,1,0.26,vendor,5,1
2743,MLOps Engineer,BlueSky Tech,Remote,contract,0,0,0.5142,company_site,5,0
705,Backend Developer,ZenithSoft,Minneapolis MN,full_time,6,0,0.0619,linkedin,,0
1184,Senior AI Engineer,Nexus Data,Seattle WA,full_time,4,,0.2793,company_site,6,0
7998,Full Stack Engineer,CoreLogic AI,Remote,contract,2,1,0.1384,linkedin,5,0
9623,AI Research Scientist,Prism Data,Remote,full_time,5,0,0.0539,linkedin,-1,0
3040,Frontend Developer,Stratus AI,Chicago IL,full_time,2,1,0.4633,linkedin,6,0
3520,Senior AI Engineer,Polaris Systems,Phoenix AZ,full_time,2,1,0.5479,company_site,4,0
4813,LLM Engineer,Synthetix Labs,Boston MA,contract,7,1,0.4623,linkedin,3,0
9849,Full Stack Engineer,Vortex ML,Portland OR,contract,0,1,0.4089,vendor,2,0
1732,Data Scientist,Quantum Drift,Boston MA,full_time,6,1,0.496,other,6,0
